"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Российская Федерация","по микробиологическим показателям","","н/д","н/д","н/д","н/д","5,62","5,52","4,61","н/д","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Российская Федерация","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","0,88","0,82","0,67","н/д","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Российская Федерация","захоронено","всего","н/д","н/д","н/д","н/д","н/д","36097,4","44481,7","37530,2","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Российская Федерация","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","246","304,3","257,8","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96046","Количество несанкционированных свалок","шт.","Российская Федерация","","","н/д","н/д","н/д","н/д","н/д","13404","16148","12689","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Алтайский край","","","н/д","н/д","н/д","н/д","н/д","н/д","C","D","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Алтайский край","накоплено","","31891","н/д","н/д","53915","38574","39432","40764","31178,1","31535","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Алтайский край","образовано","","3178,4","н/д","н/д","9030,9","9372,4","9068,3","7334,7","4866,3","2957,2","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Алтайский край","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","4,0","4,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Алтайский край","накоплено","всего","н/д","н/д","н/д","н/д","н/д","46,3","0,0","25,5","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
