"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Сегмент","Показывать","2015","2016","2017","2018","2019","2020","2021","2022","2014","Описание"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Ингушетия","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","0,82","0","0,0","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96031","Индекс нейтрального баланса деградации земель (от -100% до 100%)","%","Республика Ингушетия","","","н/д","н/д","н/д","н/д","67,2","н/д","н/д","н/д","н/д","Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019;"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Ингушетия","по микробиологическим показателям","","н/д","н/д","н/д","н/д","3,52","4,66","4,2","5,6","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Ингушетия","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","1,87","2,58","4,3","6,8","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Республика Ингушетия","захоронено","всего","н/д","н/д","н/д","н/д","н/д","8,3","26,5","64,6","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Республика Ингушетия","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","16","51,4","123,2","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Республика Калмыкия","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","309","326,6","294,0","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96033","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Калмыкия","по санитарно-химическим показателям","","н/д","н/д","н/д","н/д","0","0","0,0","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Республика Калмыкия","","на душу населения","н/д","53,8","н/д","50,5","н/д","54,2","23,3","43,7","50,7","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96032","Площади зон хронического загрязнения почв токсикантами промышленного происхождения (% от площади региона)","%","Республика Калмыкия","","","н/д","н/д","н/д","н/д","низкий уровень загрязнения","н/д","н/д","н/д","н/д","Для некоторых регионов, о площадях загрязнения почв в которых нет точных данных, указан уровень загрязнения\
Институт глобального климата и экологии им. академика Ю. А. Израэля: монография «Загрязнение окружающей среды в регионах России в начале XXI века»"
"Отходы","96039","Твердые коммунальные отходы","тысяч тонн","Республика Калмыкия","захоронено","всего","н/д","н/д","н/д","н/д","н/д","83,8","88,2","78,7","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96035","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Калмыкия","по паразитологичесим показателям","","н/д","н/д","н/д","н/д","0","0,42","0,0","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96028","Водные объекты, отнесенные к категориям «грязная» и «экстремально грязная» вода (% поверхностных водных объектов)","%","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","Росгидромет: Ежегодник «Качество поверхностных вод Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Почвы","96031","Индекс нейтрального баланса деградации земель (от -100% до 100%)","%","Республика Калмыкия","","","н/д","н/д","н/д","н/д","0,0","н/д","н/д","н/д","н/д","Росгидромет: Национальный доклад «Глобальный климат и почвенный покров России: опустынивание и деградация земель, институциональные, инфраструктурные, технологические меры адаптации (сельское и лесное хозяйство)», Том 2, 2019;"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Калмыкия","по микробиологическим показателям","","н/д","н/д","н/д","н/д","0,46","0,43","0,0","0,0","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Прочее","96055","Особо охраняемые природные территории","шт.","Республика Калмыкия","федеральные","количество","н/д","н/д","н/д","4","4","4","4","4","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Республика Калмыкия","региональные","количество","н/д","н/д","н/д","19","19","20","20","20","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","E","E","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Республика Калмыкия","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","1,1","1,7","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Отходы","96046","Количество несанкционированных свалок","шт.","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","10","10","14","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","Недостаточно данных","Недостаточно данных","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Прочее","96054","Особо охраняемые природные территории","шт.","Республика Калмыкия","всего","количество","н/д","н/д","н/д","23","23","24","24","24","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Республика Калмыкия","","","123,0","158,0","155,0","238,0","285,0","311,0","419,0","н/д","208,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Республика Калмыкия","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","1,1","2,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96036","Рейтинг: отходы","оценка","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","B","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96041","Твердые коммунальные отходы","%","Республика Калмыкия","захоронено","% от образованных","н/д","н/д","н/д","н/д","н/д","87,9","92,7","92,6","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96038","Твердые коммунальные отходы","кг","Республика Калмыкия","образовано","на душу населения","н/д","н/д","н/д","н/д","295,9","351,3","352,4","317,4","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96037","Твердые коммунальные отходы","тысяч тонн","Республика Калмыкия","образовано","всего","н/д","н/д","н/д","н/д","80,7","95,24275","95,1352","84,9825","н/д","2020–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/ \
2019 — Минприроды: Государственный доклад о состоянии и об охране окружающей среды в 2020 году \
Расчеты: команда проекта «Если быть точным»"
"Отходы","96044","Твердые коммунальные отходы","тысяч тонн","Республика Калмыкия","накоплено","всего","н/д","н/д","н/д","н/д","н/д","1,2","1,1","2,5","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Рейтинг","96063","Оценка масштаба проблемы (рейтинг А-Е)","оценка","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","D","D","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96051","Отходы производства и потребления","тысяч тонн","Республика Калмыкия","накоплено","","0","н/д","н/д","0","10","0","0","0,1","0","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96050","Отходы производства и потребления","тысяч тонн","Республика Калмыкия","образовано","","6,7","н/д","н/д","14,5","12,3","50,3","17,9","17,0","10,6","2014–2018 — ЕМИСС\
2019–2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/"
"Отходы","96047","Объекты накопленного вреда окружающей среде","шт.","Республика Калмыкия","","всего объектов","н/д","н/д","н/д","н/д","н/д","н/д","2,0","2,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Прочее","96058","Особо охраняемые природные территории","тыс га","Республика Калмыкия","всего","площадь","0","0","0","1185","1185","1180","1180","1180","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96057","Особо охраняемые природные территории","шт.","Республика Калмыкия","местные","количество","н/д","н/д","н/д","0","0","н/д","н/д","н/д","н/д","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96059","Особо охраняемые природные территории","тыс га","Республика Калмыкия","федеральные","площадь","0","0","0","583","583","583","583","583","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96060","Особо охраняемые природные территории","тыс га","Республика Калмыкия","региональные","площадь","0","0","0","602","602","596","596","596","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96061","Особо охраняемые природные территории","тыс га","Республика Калмыкия","местные","площадь","0","0","0","0","0","0","0","0","0","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Отходы","96042","Твердые коммунальные отходы","тысяч тонн","Республика Калмыкия","направлено на утилизацию","всего","н/д","н/д","н/д","н/д","н/д","10,4","0,0","4,9","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96043","Твердые коммунальные отходы","%","Республика Калмыкия","направлено на утилизацию","% от образованных","н/д","н/д","н/д","н/д","н/д","10,9","0,0","5,8","н/д","2021-2022 — Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
2014–2020 — ЕМИСС\
Расчеты: команда проекта «Если быть точным»"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Республика Калмыкия","","","50,0","45,1","50,0","52,0","63,5","64,7","74,0","74,51","50,0","ЕМИСС: Роспотребнадзор"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Республика Калмыкия","","всего","н/д","15","н/д","13,9","н/д","14,7","6,3","11,7","14,3","ЕМИСС: Федеральное агентство водных ресурсов"
"Воздух","96019","Выбросы от стационарных источников","кг","Республика Калмыкия","","на душу населения","н/д","7,9","н/д","13,4","н/д","9,2","16,3","11,4","16,0","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Республика Калмыкия","","всего","н/д","2,2","н/д","3,7","н/д","2,5","4,4","  3,1 ","4,5","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Республика Калмыкия","","","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","н/д","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Калмыкия","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Республика Калмыкия","","","н/д","н/д","н/д","55,9","7,4","7,5","7,5","7,8","н/д","ЕМИСС: Роспотребнадзор"
"Воздух","96021","Выбросы от передвижных источников","кг","Республика Калмыкия","","на душу населения","н/д","129,2","н/д","135,1","н/д","42,4","42,2","40,7","112,4","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Калмыкия","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Калмыкия","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Республика Калмыкия","","всего","н/д","36","н/д","37,2","н/д","11,5","11,4","10,9","31,7","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96020","Выбросы от передвижных источников","тысяч тонн","Республика Карелия","","всего","н/д","89","н/д","90,1","н/д","24","23,3","22,4","79,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96014","Население в городах с высоким и очень высоким уровнем загрязнения воздуха (% городского населения)","%","Республика Карелия","","","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","Росгидромет: ежегодник «Обзор состояния и загрязнения окружающей среды в Российской Федерации»\
Расчеты: команда проекта «Если быть точным»"
"Вода","96026","Сброс загрязненных сточных вод","млн м3","Республика Карелия","","всего","н/д","221","н/д","180,2","н/д","170,9","120,6","112,2","222,4","ЕМИСС: Федеральное агентство водных ресурсов"
"Вода","96025","Доля водопроводов хозяйственно-питьевого централизованного водоснабжения, не соответствующих санитарным нормам и правилам","%","Республика Карелия","","","43,0","43,0","42,7","49,0","56,6","56,9","55,2","57,55","40,9","ЕМИСС: Роспотребнадзор"
"Воздух","96018","Выбросы от стационарных источников","тысяч тонн","Республика Карелия","","всего","н/д","116","н/д","124,3","н/д","128,9","136,4","  134,1 ","94,9","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/"
"Воздух","96019","Выбросы от стационарных источников","кг","Республика Карелия","","на душу населения","н/д","184,2","н/д","199,7","н/д","209,9","223,9","222,4","149,6","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96016","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Карелия","максимальная концентрация какого-либо вещества превысила 10 ПДК (СИ>10)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96015","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Карелия","средняя за год концентрация одного или нескольких веществ превысила ПДК (Q>1 ПДК)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","57,2","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96017","Население в городах со значительным превышением ПДК загрязняющих веществ (% городского населения)","%","Республика Карелия","наибольшая повторяемость превышения ПДК больше 20 (НП>20)","","н/д","н/д","н/д","н/д","н/д","0,0","н/д","0,0","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Воздух","96021","Выбросы от передвижных источников","кг","Республика Карелия","","на душу населения","н/д","141,3","н/д","144,7","н/д","39,1","38,2","37,2","125,8","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/air-protect/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
"Вода","96024","Население, обеспеченное качественной питьевой водой из систем централизованного водоснабжения (% населения)","%","Республика Карелия","","","н/д","н/д","н/д","75,9","66,7","66,7","66,7","67,0","н/д","ЕМИСС: Роспотребнадзор"
"Отходы","96036","Рейтинг: отходы","оценка","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","н/д","C","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96046","Количество несанкционированных свалок","шт.","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","57","46","38","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/unauthorized-landfill/\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96048","Объекты накопленного вреда окружающей среде","оценка","Республика Карелия","","влияние самого опасного объекта","н/д","н/д","н/д","н/д","н/д","н/д","1,9","1,9","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)"
"Прочее","96055","Особо охраняемые природные территории","шт.","Республика Карелия","федеральные","количество","7","7","8","8","8","8","8","8","7","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Прочее","96056","Особо охраняемые природные территории","шт.","Республика Карелия","региональные","количество","135","136","137","138","141","145","146","146","137","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Вода","96023","Рейтинг: загрязнение воды","оценка","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","н/д","D","D","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Почвы","96030","Рейтинг: загрязнение почвы","оценка","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","н/д","B","B","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Отходы","96049","Объекты накопленного вреда окружающей среде","оценка","Республика Карелия","","сумма влияния всех объектов","н/д","н/д","н/д","н/д","н/д","н/д","1,9","2,0","н/д","Минприроды: Государственный реестр объектов накопленного вреда окружающей среде (данные на 15.07.2022)\
Расчеты: команда проекта «Если быть точным»"
"Финансы","96062","Расходы на охрану окружающей среды","млн рублей","Республика Карелия","","","3135,0","3309,0","3181,0","2935,0","2991,0","3210,0","4346,0","н/д","2923,0","Росстат: раздел «Официальная статистика» —> Окружающая среда"
"Воздух","96013","Рейтинг: загрязнение воздуха","оценка","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","н/д","B","C","н/д","А - наиболее благополучный регион\
В - благополучный регион\
С - средний уровень благополучности\
D - неблагополучный регион\
E - наиболее неблагополучный регион"
"Прочее","96054","Особо охраняемые природные территории","шт.","Республика Карелия","всего","количество","142","143","145","146","149","153","154","154","144","Росстат: раздел «Публикации» —> Бюллетени об охране окружающей среды"
"Воздух","96022","Городов с регулярными наблюдениями за загрязнением воздуха","шт.","Республика Карелия","","","н/д","н/д","н/д","н/д","н/д","н/д","3","3","н/д","Росгидромет: ежегодник «Состояние загрязнения атмосферы в городах на территории России»"
"Почвы","96034","Пробы почв селитебных территорий с превышением нормативов (% исследованных проб)","%","Республика Карелия","по микробиологическим показателям","","н/д","н/д","н/д","н/д","6,32","13,17","16,1","19,1","н/д","2022 — Доклады «О состоянии санитарно-эпидемиологического благополучия населения» региональных управлений Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2021 — Письмо № 09-13254-2022-40 от 16.07.2022 Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор)\
2019–2020 — Роспотребнадзор: Государственный доклад «О состоянии санитарно-эпидемиологического благополучия населения в Российской Федерации»"
"Вода","96027","Сброс загрязненных сточных вод","м3","Республика Карелия","","на душу населения","н/д","350,9","н/д","289,5","н/д","278,3","198,0","186,0","350,6","ЕМИСС: Федеральное агентство водных ресурсов\
Расчеты: команда проекта «Если быть точным»"
"Отходы","96040","Твердые коммунальные отходы","кг","Республика Карелия","захоронено","на душу населения","н/д","н/д","н/д","н/д","н/д","294","298,3","296,7","н/д","Росприроднадзор: https://https.rpn.gov.ru/open-service/analytic-data/statistic-reports/production-consumption-waste/\
Для удельных показателей используется численность постоянного населения на 1 января.\
Расчеты: команда проекта «Если быть точным»"
